Experiment,width of patch,width of substrate,length of substrate,width of slot,Length of slot,Length of patch,Simulation tool used,Dielectric constant,Thickness of substrate,Resultant Frequency (GHz),Return Loss (S11) dB,gain (dBi),Substrate Material,,,,,,,,,
608,36.98,45.49,36.93,0.12,5.75,35.26,HFSS,3.48,0.175,2.28,-26.73,-0.24,Roger 4350,,,,,,,,,
609,54.64,72.26,54.79,0.51,2.27,35.26,HFSS,3.48,0.175,2.28,-14.82,1.46,Roger 4350,,,,,,,,,
610,20.37,50.37,45.02,0.75,6.18,31,HFSS,3.48,0.175,2.59,-19.00,-2.27,Roger 4350,,,,,,,,,
611,24.80,36.96,38.12,0.75,3.38,31,HFSS,3.48,0.175,2.59,-28.28,-1.41,Roger 4350,,,,,,,,,
612,26.42,42.44,36.27,0.12,3.90,35.26,HFSS,3.48,0.175,2.28,-15.00,-1.70,Roger 4350,,,,,,,,,
613,36.54,45.00,37.27,0.11,4.98,35.26,HFSS,3.48,0.175,2.28,-9.38,-0.29,Roger 4350,,,,,,,,,
614,42.91,60.68,52.30,0.25,8.73,35.89,HFSS,3.48,1.5,2.24,-28.69,0.33,Roger 4350,,,,,,,,,
615,48.72,47.65,54.50,1.06,7.30,40.47,HFSS,3.48,1.58,1.99,-8.41,0.36,Roger 4350,,,,,,,,,
616,27.15,70.25,37.91,0.36,2.95,35.26,HFSS,3.48,0.175,2.28,-14.96,-1.58,Roger 4350,,,,,,,,,
617,42.09,59.11,49.24,0.65,6.08,35.89,HFSS,3.48,1.5,2.24,-17.00,0.25,Roger 4350,,,,,,,,,
618,20.97,44.05,39.14,0.13,7.72,35.26,HFSS,3.48,0.175,2.28,-26.23,-2.70,Roger 4350,,,,,,,,,
619,30.86,37.31,43.81,0.37,5.46,31,HFSS,3.48,0.175,2.59,-17.55,-0.46,Roger 4350,,,,,,,,,
620,27.90,47.00,51.69,0.76,7.79,35.89,HFSS,3.48,1.5,2.24,-28.06,-1.54,Roger 4350,,,,,,,,,
621,32.19,38.34,47.80,0.51,8.59,35.89,HFSS,3.48,1.5,2.24,-22.83,-0.92,Roger 4350,,,,,,,,,
622,23.94,45.97,43.82,0.25,4.11,31,HFSS,3.48,0.175,2.59,-15.03,-1.57,Roger 4350,,,,,,,,,
623,26.81,46.12,36.60,0.06,5.09,35.26,HFSS,3.48,0.175,2.28,-21.24,-1.63,Roger 4350,,,,,,,,,
624,26.43,45.82,35.89,0.11,7.78,35.26,HFSS,3.48,0.175,2.28,-15.65,-1.70,Roger 4350,,,,,,,,,
625,27.15,33.69,47.44,0.63,4.50,35.26,HFSS,3.48,0.175,2.28,-7.15,-1.58,Roger 4350,,,,,,,,,
626,42.95,64.07,52.20,0.25,8.92,35.89,HFSS,3.48,1.5,2.24,-24.64,0.34,Roger 4350,,,,,,,,,
627,21.50,50.72,48.94,0.26,6.25,35.89,HFSS,3.48,1.5,2.24,-22.20,-2.67,Roger 4350,,,,,,,,,
628,43.33,45.89,46.12,0.77,6.25,35.89,HFSS,3.48,1.5,2.24,-13.33,0.37,Roger 4350,,,,,,,,,
629,38.26,55.59,48.41,0.25,7.27,35.89,HFSS,3.48,1.5,2.24,-16.62,-0.17,Roger 4350,,,,,,,,,
630,37.80,55.09,48.92,0.24,7.26,35.89,HFSS,3.48,1.5,2.24,-13.88,-0.22,Roger 4350,,,,,,,,,
631,17.86,69.34,60.69,0.78,4.47,35.26,HFSS,3.48,0.175,2.28,-19.97,-3.40,Roger 4350,,,,,,,,,
632,30.57,31.37,39.26,0.24,4.77,31,HFSS,3.48,0.175,2.59,-13.70,-0.50,Roger 4350,,,,,,,,,
633,29.51,50.62,43.73,0.95,8.62,40.47,HFSS,3.48,1.58,1.99,-23.34,-1.82,Roger 4350,,,,,,,,,
634,31.61,42.99,36.65,0.06,6.10,35.26,HFSS,3.48,0.175,2.28,-15.62,-0.92,Roger 4350,,,,,,,,,
635,40.54,24.99,40.97,0.64,4.91,31,HFSS,3.48,0.175,2.59,-29.61,0.72,Roger 4350,,,,,,,,,
636,58.42,72.12,52.06,0.48,2.18,35.26,HFSS,3.48,0.175,2.28,-22.31,1.75,Roger 4350,,,,,,,,,
637,18.50,33.35,44.67,0.35,2.21,35.26,HFSS,3.48,0.175,2.28,-11.75,-3.24,Roger 4350,,,,,,,,,
638,42.56,45.65,41.54,0.59,6.96,35.89,HFSS,3.48,1.5,2.24,-6.79,0.30,Roger 4350,,,,,,,,,
639,37.15,60.16,45.87,1.08,4.96,40.47,HFSS,3.48,1.58,1.99,-20.27,-0.82,Roger 4350,,,,,,,,,
640,21.27,46.63,38.88,0.13,8.03,35.26,HFSS,3.48,0.175,2.28,-26.94,-2.64,Roger 4350,,,,,,,,,
641,26.83,44.70,36.53,0.12,4.18,35.26,HFSS,3.48,0.175,2.28,-7.94,-1.63,Roger 4350,,,,,,,,,
642,37.36,49.94,53.08,0.59,7.85,35.89,HFSS,3.48,1.5,2.24,-12.70,-0.27,Roger 4350,,,,,,,,,
643,41.66,45.50,36.85,0.07,4.13,35.26,HFSS,3.48,0.175,2.28,-27.46,0.28,Roger 4350,,,,,,,,,
644,41.16,57.34,47.68,0.59,5.93,35.89,HFSS,3.48,1.5,2.24,-25.76,0.15,Roger 4350,,,,,,,,,
645,25.29,45.46,43.06,0.26,4.24,31,HFSS,3.48,0.175,2.59,-10.06,-1.33,Roger 4350,,,,,,,,,
646,37.14,48.01,48.39,1.23,6.29,40.47,HFSS,3.48,1.58,1.99,-17.20,-0.82,Roger 4350,,,,,,,,,
647,35.53,52.76,47.35,0.62,7.18,40.47,HFSS,3.48,1.58,1.99,-22.77,-1.01,Roger 4350,,,,,,,,,
648,35.78,52.55,47.25,0.60,7.33,40.47,HFSS,3.48,1.58,1.99,-27.05,-0.98,Roger 4350,,,,,,,,,
649,43.86,53.12,46.76,0.78,9.36,35.89,HFSS,3.48,1.5,2.24,-9.32,0.43,Roger 4350,,,,,,,,,
650,44.74,44.04,44.82,0.64,6.56,35.89,HFSS,3.48,1.5,2.24,-26.72,0.51,Roger 4350,,,,,,,,,
651,36.56,44.52,37.18,0.10,3.96,35.26,HFSS,3.48,0.175,2.28,-28.24,-0.29,Roger 4350,,,,,,,,,
652,23.20,51.99,47.07,0.94,7.59,40.47,HFSS,3.48,1.58,1.99,-24.28,-2.86,Roger 4350,,,,,,,,,
653,35.97,50.47,48.46,0.61,7.54,40.47,HFSS,3.48,1.58,1.99,-11.70,-0.96,Roger 4350,,,,,,,,,
654,23.05,53.44,48.58,0.25,6.22,35.89,HFSS,3.48,1.5,2.24,-16.17,-2.37,Roger 4350,,,,,,,,,
655,31.98,46.36,51.25,0.48,6.22,35.89,HFSS,3.48,1.5,2.24,-24.01,-0.95,Roger 4350,,,,,,,,,
656,44.08,60.96,54.44,0.24,9.27,35.89,HFSS,3.48,1.5,2.24,-6.56,0.45,Roger 4350,,,,,,,,,
657,22.41,53.72,50.15,0.26,5.74,35.89,HFSS,3.48,1.5,2.24,-14.36,-2.49,Roger 4350,,,,,,,,,
658,30.62,51.09,46.34,1.13,9.83,40.47,HFSS,3.48,1.58,1.99,-7.09,-1.66,Roger 4350,,,,,,,,,
659,43.57,64.66,53.60,0.24,8.93,35.89,HFSS,3.48,1.5,2.24,-10.06,0.40,Roger 4350,,,,,,,,,
660,20.99,46.40,37.95,0.09,6.06,35.26,HFSS,3.48,0.175,2.28,-9.10,-2.70,Roger 4350,,,,,,,,,
661,43.56,43.77,46.01,0.26,8.43,35.89,HFSS,3.48,1.5,2.24,-5.51,0.40,Roger 4350,,,,,,,,,
662,34.30,40.49,48.32,0.60,8.60,35.89,HFSS,3.48,1.5,2.24,-7.80,-0.64,Roger 4350,,,,,,,,,
663,34.59,55.06,42.31,0.26,7.21,35.89,HFSS,3.48,1.5,2.24,-28.97,-0.60,Roger 4350,,,,,,,,,
664,35.85,38.80,47.75,0.25,6.43,35.89,HFSS,3.48,1.5,2.24,-17.72,-0.45,Roger 4350,,,,,,,,,
665,28.97,50.54,34.24,0.65,3.16,31,HFSS,3.48,0.175,2.59,-20.52,-0.74,Roger 4350,,,,,,,,,
666,23.04,45.40,42.77,0.38,9.18,35.89,HFSS,3.48,1.5,2.24,-27.00,-2.37,Roger 4350,,,,,,,,,
667,37.61,45.88,49.72,0.76,7.59,35.89,HFSS,3.48,1.5,2.24,-5.02,-0.24,Roger 4350,,,,,,,,,
668,36.99,50.02,52.61,0.63,8.47,35.89,HFSS,3.48,1.5,2.24,-21.76,-0.31,Roger 4350,,,,,,,,,
669,44.41,44.25,34.99,0.77,5.91,35.89,HFSS,3.48,1.5,2.24,-20.11,0.48,Roger 4350,,,,,,,,,
670,25.81,42.26,38.49,0.13,3.92,35.26,HFSS,3.48,0.175,2.28,-10.08,-1.80,Roger 4350,,,,,,,,,
671,38.24,58.12,44.11,0.63,5.98,35.89,HFSS,3.48,1.5,2.24,-21.50,-0.17,Roger 4350,,,,,,,,,
672,46.00,48.80,40.21,0.62,2.16,35.26,HFSS,3.48,0.175,2.28,-28.89,0.71,Roger 4350,,,,,,,,,
673,28.40,44.82,38.71,0.06,5.16,35.26,HFSS,3.48,0.175,2.28,-14.48,-1.38,Roger 4350,,,,,,,,,
674,44.40,63.71,54.02,0.25,8.92,35.89,HFSS,3.48,1.5,2.24,-21.67,0.48,Roger 4350,,,,,,,,,
675,29.44,62.55,41.57,0.77,7.07,40.47,HFSS,3.48,1.58,1.99,-5.81,-1.83,Roger 4350,,,,,,,,,
676,23.47,53.27,47.76,0.91,7.28,40.47,HFSS,3.48,1.58,1.99,-14.42,-2.81,Roger 4350,,,,,,,,,
677,44.81,53.75,46.99,0.48,7.65,35.89,HFSS,3.48,1.5,2.24,-9.91,0.52,Roger 4350,,,,,,,,,
678,44.94,44.98,39.78,0.65,2.37,35.26,HFSS,3.48,0.175,2.28,-12.24,0.61,Roger 4350,,,,,,,,,
679,46.84,59.84,51.55,0.38,8.25,35.89,HFSS,3.48,1.5,2.24,-23.97,0.71,Roger 4350,,,,,,,,,
680,41.29,47.12,49.18,0.77,10.29,40.47,HFSS,3.48,1.58,1.99,-18.89,-0.36,Roger 4350,,,,,,,,,
681,27.76,43.81,37.65,0.11,8.29,35.26,HFSS,3.48,0.175,2.28,-21.50,-1.48,Roger 4350,,,,,,,,,
682,30.96,24.93,38.90,0.73,3.90,31,HFSS,3.48,0.175,2.59,-6.40,-0.45,Roger 4350,,,,,,,,,
683,33.84,38.36,30.95,0.60,4.06,31,HFSS,3.48,0.175,2.59,-11.88,-0.06,Roger 4350,,,,,,,,,
684,58.03,23.58,58.06,0.64,3.17,35.26,HFSS,3.48,0.175,2.28,-25.16,1.72,Roger 4350,,,,,,,,,
685,18.88,43.91,40.60,0.61,5.70,31,HFSS,3.48,0.175,2.59,-9.00,-2.60,Roger 4350,,,,,,,,,
686,38.70,54.32,45.20,0.59,6.07,35.89,HFSS,3.48,1.5,2.24,-28.35,-0.12,Roger 4350,,,,,,,,,
687,23.30,65.55,35.52,0.60,7.25,35.89,HFSS,3.48,1.5,2.24,-5.15,-2.32,Roger 4350,,,,,,,,,
688,35.88,50.91,48.88,0.61,7.11,40.47,HFSS,3.48,1.58,1.99,-7.38,-0.97,Roger 4350,,,,,,,,,
689,54.25,69.30,56.25,0.48,2.21,35.26,HFSS,3.48,0.175,2.28,-24.64,1.43,Roger 4350,,,,,,,,,
690,21.62,41.75,40.51,0.50,7.82,35.89,HFSS,3.48,1.5,2.24,-9.73,-2.65,Roger 4350,,,,,,,,,
691,23.15,54.85,46.73,0.94,7.57,40.47,HFSS,3.48,1.58,1.99,-6.03,-2.87,Roger 4350,,,,,,,,,
692,36.53,50.33,52.72,0.64,8.21,35.89,HFSS,3.48,1.5,2.24,-21.85,-0.37,Roger 4350,,,,,,,,,
693,41.45,53.11,39.52,1.08,6.29,40.47,HFSS,3.48,1.58,1.99,-10.68,-0.34,Roger 4350,,,,,,,,,
694,38.61,44.08,34.79,0.12,5.95,35.26,HFSS,3.48,0.175,2.28,-29.99,-0.05,Roger 4350,,,,,,,,,
695,46.61,59.77,51.52,0.38,8.05,35.89,HFSS,3.48,1.5,2.24,-14.51,0.69,Roger 4350,,,,,,,,,
696,23.44,46.80,39.30,0.63,4.85,40.47,HFSS,3.48,1.58,1.99,-19.56,-2.82,Roger 4350,,,,,,,,,
697,38.77,42.23,53.02,0.36,7.11,35.89,HFSS,3.48,1.5,2.24,-9.34,-0.11,Roger 4350,,,,,,,,,
698,32.70,39.66,46.77,0.52,8.40,35.89,HFSS,3.48,1.5,2.24,-27.74,-0.85,Roger 4350,,,,,,,,,
699,43.35,44.51,34.41,0.06,7.88,35.26,HFSS,3.48,0.175,2.28,-9.94,0.45,Roger 4350,,,,,,,,,
700,39.99,32.72,30.55,0.72,5.75,31,HFSS,3.48,0.175,2.59,-7.25,0.66,Roger 4350,,,,,,,,,
701,37.92,36.49,55.20,0.24,3.03,35.26,HFSS,3.48,0.175,2.28,-14.23,-0.13,Roger 4350,,,,,,,,,
702,43.60,43.92,37.64,0.09,4.78,35.26,HFSS,3.48,0.175,2.28,-10.54,0.48,Roger 4350,,,,,,,,,
703,34.96,54.31,51.77,0.77,8.69,40.47,HFSS,3.48,1.58,1.99,-9.26,-1.08,Roger 4350,,,,,,,,,
704,37.89,45.51,34.52,0.11,5.23,35.26,HFSS,3.48,0.175,2.28,-14.41,-0.13,Roger 4350,,,,,,,,,
705,38.46,48.65,57.15,0.38,3.91,35.26,HFSS,3.48,0.175,2.28,-23.19,-0.07,Roger 4350,,,,,,,,,
706,46.77,24.11,54.79,0.36,4.52,35.26,HFSS,3.48,0.175,2.28,-15.47,0.78,Roger 4350,,,,,,,,,
707,35.42,49.75,52.22,0.64,8.23,35.89,HFSS,3.48,1.5,2.24,-10.04,-0.50,Roger 4350,,,,,,,,,
708,40.22,50.75,45.80,0.38,6.45,35.89,HFSS,3.48,1.5,2.24,-6.64,0.05,Roger 4350,,,,,,,,,
709,25.64,37.21,42.11,0.73,3.16,31,HFSS,3.48,0.175,2.59,-25.16,-1.27,Roger 4350,,,,,,,,,
710,25.29,53.18,43.54,0.81,6.11,40.47,HFSS,3.48,1.58,1.99,-10.78,-2.49,Roger 4350,,,,,,,,,
711,30.46,51.16,33.52,0.60,3.18,31,HFSS,3.48,0.175,2.59,-19.80,-0.52,Roger 4350,,,,,,,,,
712,43.24,46.09,34.85,0.07,3.81,35.26,HFSS,3.48,0.175,2.28,-23.22,0.44,Roger 4350,,,,,,,,,
713,31.94,42.83,33.84,0.09,7.80,35.26,HFSS,3.48,0.175,2.28,-20.13,-0.87,Roger 4350,,,,,,,,,
714,43.27,53.85,41.43,1.10,5.92,40.47,HFSS,3.48,1.58,1.99,-18.33,-0.15,Roger 4350,,,,,,,,,
715,34.82,47.65,51.94,0.50,6.27,35.89,HFSS,3.48,1.5,2.24,-18.83,-0.58,Roger 4350,,,,,,,,,
716,27.97,69.02,38.59,0.37,3.09,35.26,HFSS,3.48,0.175,2.28,-23.03,-1.45,Roger 4350,,,,,,,,,
717,34.43,46.62,51.73,0.48,6.17,35.89,HFSS,3.48,1.5,2.24,-11.64,-0.62,Roger 4350,,,,,,,,,
718,39.47,49.36,41.43,0.78,8.89,35.89,HFSS,3.48,1.5,2.24,-16.71,-0.03,Roger 4350,,,,,,,,,
719,37.01,45.40,35.82,0.11,4.78,35.26,HFSS,3.48,0.175,2.28,-12.07,-0.23,Roger 4350,,,,,,,,,
720,22.54,55.32,55.42,0.75,6.68,35.89,HFSS,3.48,1.5,2.24,-17.40,-2.46,Roger 4350,,,,,,,,,
721,35.05,46.16,51.41,0.37,9.21,35.89,HFSS,3.48,1.5,2.24,-9.66,-0.55,Roger 4350,,,,,,,,,
722,18.23,67.67,60.05,0.73,4.48,35.26,HFSS,3.48,0.175,2.28,-6.72,-3.31,Roger 4350,,,,,,,,,
723,30.63,56.10,47.34,1.22,5.09,40.47,HFSS,3.48,1.58,1.99,-21.05,-1.65,Roger 4350,,,,,,,,,
724,28.64,41.95,46.97,0.25,7.03,35.89,HFSS,3.48,1.5,2.24,-22.90,-1.42,Roger 4350,,,,,,,,,
725,34.50,40.04,48.27,0.52,7.85,35.89,HFSS,3.48,1.5,2.24,-24.19,-0.62,Roger 4350,,,,,,,,,
726,56.28,67.36,54.17,0.48,2.23,35.26,HFSS,3.48,0.175,2.28,-29.45,1.59,Roger 4350,,,,,,,,,
727,38.02,65.83,49.06,0.36,6.08,35.89,HFSS,3.48,1.5,2.24,-20.90,-0.19,Roger 4350,,,,,,,,,
728,33.30,47.67,56.31,0.50,5.71,35.89,HFSS,3.48,1.5,2.24,-13.31,-0.77,Roger 4350,,,,,,,,,
729,30.61,33.17,39.88,0.24,5.10,31,HFSS,3.48,0.175,2.59,-6.48,-0.50,Roger 4350,,,,,,,,,
730,49.90,52.00,44.43,0.60,10.10,40.47,HFSS,3.48,1.58,1.99,-7.07,0.47,Roger 4350,,,,,,,,,
731,29.22,52.35,33.60,0.60,3.35,31,HFSS,3.48,0.175,2.59,-25.44,-0.70,Roger 4350,,,,,,,,,
732,28.67,57.13,35.11,0.52,9.30,35.89,HFSS,3.48,1.5,2.24,-10.25,-1.42,Roger 4350,,,,,,,,,
733,21.26,44.02,37.01,0.09,6.05,35.26,HFSS,3.48,0.175,2.28,-5.50,-2.64,Roger 4350,,,,,,,,,
734,27.67,41.95,44.78,0.26,6.90,35.89,HFSS,3.48,1.5,2.24,-5.23,-1.57,Roger 4350,,,,,,,,,
735,35.19,44.63,51.94,0.48,6.19,35.89,HFSS,3.48,1.5,2.24,-29.16,-0.53,Roger 4350,,,,,,,,,
736,23.25,46.35,42.01,0.62,5.03,40.47,HFSS,3.48,1.58,1.99,-10.03,-2.85,Roger 4350,,,,,,,,,
737,42.74,56.64,51.66,0.61,6.05,35.89,HFSS,3.48,1.5,2.24,-27.85,0.31,Roger 4350,,,,,,,,,
738,32.14,53.54,37.23,0.38,6.57,35.89,HFSS,3.48,1.5,2.24,-14.89,-0.92,Roger 4350,,,,,,,,,
739,26.90,45.51,34.21,0.09,6.67,35.26,HFSS,3.48,0.175,2.28,-17.15,-1.62,Roger 4350,,,,,,,,,
740,40.27,41.96,53.94,0.63,8.98,35.89,HFSS,3.48,1.5,2.24,-27.78,0.06,Roger 4350,,,,,,,,,
741,30.63,51.09,36.04,0.61,3.30,31,HFSS,3.48,0.175,2.59,-13.63,-0.50,Roger 4350,,,,,,,,,
742,36.25,54.66,42.86,0.98,10.13,40.47,HFSS,3.48,1.58,1.99,-28.61,-0.92,Roger 4350,,,,,,,,,
743,35.18,52.18,52.24,0.25,6.21,35.89,HFSS,3.48,1.5,2.24,-21.01,-0.53,Roger 4350,,,,,,,,,
744,42.42,61.73,51.34,0.50,6.49,35.89,HFSS,3.48,1.5,2.24,-6.59,0.28,Roger 4350,,,,,,,,,
745,34.80,61.26,43.14,0.61,7.51,35.89,HFSS,3.48,1.5,2.24,-6.20,-0.58,Roger 4350,,,,,,,,,
746,20.08,38.61,36.52,0.49,4.82,31,HFSS,3.48,0.175,2.59,-5.39,-2.33,Roger 4350,,,,,,,,,
747,18.56,56.35,55.66,0.60,3.84,35.26,HFSS,3.48,0.175,2.28,-18.87,-3.23,Roger 4350,,,,,,,,,
748,19.10,37.92,38.70,0.50,5.02,31,HFSS,3.48,0.175,2.59,-8.03,-2.55,Roger 4350,,,,,,,,,
749,27.42,61.07,60.33,0.24,2.29,35.26,HFSS,3.48,0.175,2.28,-9.45,-1.54,Roger 4350,,,,,,,,,
750,21.16,45.00,36.34,0.09,5.90,35.26,HFSS,3.48,0.175,2.28,-11.17,-2.66,Roger 4350,,,,,,,,,
751,27.80,59.85,35.17,0.48,9.09,35.89,HFSS,1.05,1.5,4.08,-9.05,3.65,Foam,,,,,,,,,
752,30.50,56.98,51.39,1.26,4.73,40.47,HFSS,1.05,1.58,3.61,-29.53,3.53,Foam,,,,,,,,,
753,43.21,54.89,48.01,0.63,5.88,35.89,HFSS,1.05,1.5,4.08,-14.17,5.57,Foam,,,,,,,,,
754,33.07,41.44,37.13,0.12,5.05,35.26,HFSS,1.05,0.175,4.15,-12.63,4.48,Foam,,,,,,,,,
755,44.94,59.68,52.55,0.25,8.83,35.89,HFSS,1.05,1.5,4.08,-13.06,5.74,Foam,,,,,,,,,
756,25.71,26.61,33.50,0.49,5.53,31,HFSS,1.05,0.175,4.72,-16.28,3.95,Foam,,,,,,,,,
757,46.55,53.71,44.67,0.64,10.06,40.47,HFSS,1.05,1.58,3.61,-11.90,5.37,Foam,,,,,,,,,
758,33.89,43.48,37.17,0.10,8.06,35.26,HFSS,1.05,0.175,4.15,-12.38,4.59,Foam,,,,,,,,,
759,26.83,59.35,57.92,0.24,2.28,35.26,HFSS,1.05,0.175,4.15,-9.20,3.57,Foam,,,,,,,,,
760,24.33,51.87,44.67,0.82,6.11,40.47,HFSS,1.05,1.58,3.61,-8.08,2.55,Foam,,,,,,,,,
761,49.94,52.05,41.64,1.30,8.54,40.47,HFSS,1.05,1.58,3.61,-14.29,5.67,Foam,,,,,,,,,
762,24.46,51.27,46.12,0.76,6.10,40.47,HFSS,1.05,1.58,3.61,-20.72,2.57,Foam,,,,,,,,,
763,27.47,68.59,38.10,0.38,2.97,35.26,HFSS,1.05,0.175,4.15,-18.20,3.68,Foam,,,,,,,,,
764,48.60,51.28,43.00,1.26,8.27,40.47,HFSS,1.05,1.58,3.61,-28.61,5.56,Foam,,,,,,,,,
765,32.25,45.75,38.74,0.08,6.84,35.26,HFSS,1.05,0.175,4.15,-16.46,4.37,Foam,,,,,,,,,
766,24.62,52.37,42.12,0.76,5.93,40.47,HFSS,1.05,1.58,3.61,-22.52,2.60,Foam,,,,,,,,,
767,28.34,41.64,43.13,0.26,6.79,35.89,HFSS,1.05,1.5,4.08,-24.44,3.73,Foam,,,,,,,,,
768,36.52,38.41,45.29,0.26,7.03,35.89,HFSS,1.05,1.5,4.08,-10.83,4.84,Foam,,,,,,,,,
769,30.25,50.41,34.15,0.60,3.26,31,HFSS,1.05,0.175,4.72,-6.51,4.65,Foam,,,,,,,,,
770,26.24,44.22,34.32,0.08,5.73,35.26,HFSS,1.05,0.175,4.15,-26.88,3.48,Foam,,,,,,,,,
771,21.63,43.67,46.46,0.37,9.04,35.89,HFSS,1.05,1.5,4.08,-13.43,2.56,Foam,,,,,,,,,
772,33.50,39.94,47.52,0.48,8.19,35.89,HFSS,1.05,1.5,4.08,-19.64,4.46,Foam,,,,,,,,,
773,29.79,39.56,44.62,0.36,5.89,31,HFSS,1.05,0.175,4.72,-9.09,4.59,Foam,,,,,,,,,
774,28.63,46.68,56.39,0.74,1.46,35.26,HFSS,1.05,0.175,4.15,-8.87,3.85,Foam,,,,,,,,,
775,45.11,47.23,43.51,0.74,5.83,35.89,HFSS,1.05,1.5,4.08,-18.27,5.75,Foam,,,,,,,,,
776,38.63,50.66,39.32,0.75,8.55,35.89,HFSS,1.05,1.5,4.08,-12.24,5.08,Foam,,,,,,,,,
777,50.68,50.61,54.45,1.10,7.59,40.47,HFSS,1.05,1.58,3.61,-7.34,5.74,Foam,,,,,,,,,
778,18.55,47.23,49.35,0.51,2.89,35.26,HFSS,1.05,0.175,4.15,-24.79,1.97,Foam,,,,,,,,,
779,42.05,58.45,48.71,0.64,5.88,35.89,HFSS,1.05,1.5,4.08,-11.55,5.45,Foam,,,,,,,,,
780,19.20,70.95,56.04,0.77,4.60,35.26,HFSS,1.05,0.175,4.15,-14.36,2.12,Foam,,,,,,,,,
781,29.19,60.32,61.20,0.24,2.21,35.26,HFSS,1.05,0.175,4.15,-21.63,3.94,Foam,,,,,,,,,
782,44.02,43.06,35.49,0.08,4.12,35.26,HFSS,1.05,0.175,4.15,-22.73,5.72,Foam,,,,,,,,,
783,33.98,43.22,36.44,0.09,7.81,35.26,HFSS,1.05,0.175,4.15,-19.15,4.60,Foam,,,,,,,,,
784,39.09,46.87,60.90,0.36,3.92,35.26,HFSS,1.05,0.175,4.15,-24.93,5.21,Foam,,,,,,,,,
785,42.65,62.69,55.71,0.24,8.65,35.89,HFSS,1.05,1.5,4.08,-21.18,5.51,Foam,,,,,,,,,
786,25.62,52.01,32.68,0.38,4.86,31,HFSS,1.05,0.175,4.72,-22.52,3.93,Foam,,,,,,,,,
787,36.85,44.54,50.17,0.76,7.20,35.89,HFSS,1.05,1.5,4.08,-10.54,4.87,Foam,,,,,,,,,
788,26.82,34.99,51.12,0.60,4.69,35.26,HFSS,1.05,0.175,4.15,-24.32,3.57,Foam,,,,,,,,,
789,19.23,56.22,51.28,0.61,3.92,35.26,HFSS,1.05,0.175,4.15,-24.40,2.13,Foam,,,,,,,,,
790,38.97,50.75,42.17,0.78,9.01,35.89,HFSS,1.05,1.5,4.08,-5.28,5.12,Foam,,,,,,,,,
791,50.01,46.37,51.99,1.07,7.23,40.47,HFSS,1.05,1.58,3.61,-10.69,5.68,Foam,,,,,,,,,
792,47.31,59.01,42.73,0.75,3.08,35.26,HFSS,1.05,0.175,4.15,-22.64,6.04,Foam,,,,,,,,,
793,30.44,50.81,41.93,0.94,9.00,40.47,HFSS,1.05,1.58,3.61,-26.04,3.52,Foam,,,,,,,,,
794,29.26,59.78,39.40,0.81,7.71,40.47,HFSS,1.05,1.58,3.61,-7.54,3.35,Foam,,,,,,,,,
795,26.66,46.04,50.94,0.75,7.43,35.89,HFSS,1.05,1.5,4.08,-24.11,3.47,Foam,,,,,,,,,
796,28.61,39.29,47.04,0.24,6.62,35.89,HFSS,1.05,1.5,4.08,-23.63,3.77,Foam,,,,,,,,,
797,19.28,58.37,51.85,0.59,3.76,35.26,HFSS,1.05,0.175,4.15,-28.40,2.14,Foam,,,,,,,,,
798,24.69,37.58,39.71,0.76,3.33,31,HFSS,1.05,0.175,4.72,-23.33,3.77,Foam,,,,,,,,,
799,33.97,42.35,48.03,0.60,8.65,35.89,HFSS,1.05,1.5,4.08,-16.53,4.52,Foam,,,,,,,,,
800,39.27,46.31,36.83,0.06,7.31,35.26,HFSS,1.05,0.175,4.15,-8.15,5.23,Foam,,,,,,,,,
801,28.17,45.53,36.65,0.11,7.77,35.26,HFSS,1.05,0.175,4.15,-22.90,3.78,Foam,,,,,,,,,
802,46.58,53.85,45.71,0.65,9.39,40.47,HFSS,1.05,1.58,3.61,-11.32,5.37,Foam,,,,,,,,,
803,22.61,64.27,34.92,0.60,7.23,35.89,HFSS,1.05,1.5,4.08,-8.62,2.75,Foam,,,,,,,,,
804,23.61,26.57,35.37,0.48,5.65,31,HFSS,1.05,0.175,4.72,-24.96,3.58,Foam,,,,,,,,,
805,38.22,25.26,42.03,0.64,4.78,31,HFSS,1.05,0.175,4.72,-18.41,5.67,Foam,,,,,,,,,
806,37.32,42.00,36.81,0.10,4.13,35.26,HFSS,1.05,0.175,4.15,-25.06,5.01,Foam,,,,,,,,,
807,34.10,41.53,48.74,0.52,8.15,35.89,HFSS,1.05,1.5,4.08,-10.71,4.54,Foam,,,,,,,,,
808,27.39,41.45,36.83,0.09,6.89,35.26,HFSS,1.05,0.175,4.15,-11.70,3.66,Foam,,,,,,,,,
809,26.76,43.63,34.99,0.08,6.23,35.26,HFSS,1.05,0.175,4.15,-28.74,3.56,Foam,,,,,,,,,
810,37.77,60.34,47.54,0.35,6.01,35.89,HFSS,1.05,1.5,4.08,-15.98,4.98,Foam,,,,,,,,,
811,34.92,64.61,47.13,0.77,8.16,35.89,HFSS,1.05,1.5,4.08,-13.78,4.64,Foam,,,,,,,,,
812,24.82,56.69,48.17,0.92,7.19,40.47,HFSS,1.05,1.58,3.61,-14.27,2.64,Foam,,,,,,,,,
813,42.70,46.03,43.77,0.24,8.29,35.89,HFSS,1.05,1.5,4.08,-27.09,5.51,Foam,,,,,,,,,
